Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000490100120,TEMPLE,TEMPLE,RAMAN TEMPLE,49,PONGIYAMMAL STREET,1000491600011
1000490100136,TEMPLE,TEMPLE,ANJENEYAR TEMPLE,49,MARUTHAKUTTI STREET,1000491600010
1000490100950,TEMPLE,TEMPLE,MARIYAMMAN TEMPLE,49,MARUTHAKUTTI STREET,1000491600009
1000490101001,RESIDENTIAL,PRIVATE,ARUNA RESIDENCY,49,MARUTHAKUTTI STREET,1000491600008
1000490100086,EDUCATIONAL,PRIVATE,INFANT JESUS PRIMARY SCHOOL,49,MARUTHAKUTTI STREET,1000491600007
1000490100087,PARK,CORPORATION,CORPORATION PARK,49,MARUTHAKUTTI STREET,1000491600006
1000490100012,PARK,CORPORATION,CORPORATION PARK,49,MARUTHAKUTTI STREET,1000491600005
1000490100345,TEMPLE,TEMPLE,CHURCH OF SOUTH INDIA,49,CHINNAPPAN STREET,1000491600004
1000490100239,TEMPLE,TEMPLE,MARIYAMMAN TEMPLE,49,CHINNAPPAN STREET,1000491600003
1000490100055,EDUCATIONAL,PRIVATE,PRE SCHOOL,49,CHINNAPPAN STREET,1000491600002
1000490101158,RESIDENTIAL,PRIVATE,PALM CREST APARTMENT,49,SUPPATHAAL LAYOUT K M STREET 1,1000491600001
1000480100025,TEMPLE,TEMPLE,SRI LAKSHMIYAMMAL VENUGOPALSAMY TEMPLE,48,AVARAMPALAYAM ROAD,1000481600039
1000480100005,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,48,AVARAMPALAYAM ROAD,1000481600038
1000480100028,PUBLIC,CORPORATION,LIBRARY,48,BALASUNDARAM STREET,1000481600037
1000480100029,COMMERCIAL,PRIVATE,CENTRAL BANK OF INDIA ATM,48,AVARAMPALAYAM ROAD,1000481600036
1000480100006,HOSPITAL,PRIVATE,SRI SINDHU HOSPITAL,48,BALASUNDARAM STREET,1000481600035
1000480100031,COMMERCIAL,PRIVATE,STATE BANK OF HYDRABAD,48,AVARAMPALAYAM ROAD,1000481600034
1000480100004,INDUSTRIAL,PRIVATE,SHRI VENKATESH INDUSTRIES,48,AVARAMPALAYAM ROAD,1000481600033
1000480100002,OFFICE,CENTRAL,RAILWAY OFFICE,48,AVARAMPALAYAM ROAD,1000481600032
1000480100001,PUBLIC,CORPORATION,CORPORATION TOILET,48,V O C NAGAR,1000481600031
1000480100680,TEMPLE,TEMPLE,MUNIAPPAN TEMPLE,48,V O C NAGAR,1000481600030
1000480101071,COMMERCIAL,PRIVATE,SUNDAR ICE COMPANY,48,VISWANATHA PURAM STREET 1,1000481600029
1000480101303,BURIAL GROUND,CORPORATION,BURIAL GROUND,48,LAKSHMIPURAM MAIN ROAD EXTENSION,1000481600028
1000480101052,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,48,LAKSHMIPURAM STREET,1000481600027
1000480101005,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,48,CHEKKAN THOTTAM EXTENSION,1000481600026
1000480101467,EDUCATIONAL,PRIVATE,ALWYN BALDREY EDUCTIONAL TRUST,48,G P M NAGAR 2,1000481600025
1000480101429,TEMPLE,TEMPLE,MOSQUE,48,MUTHUKUMAR STREET 1ST CROSS,1000481600024
1000480100595,PUBLIC,CORPORATION,LIBRARY,48,VISWANATHA PURAM MAIN ROAD,1000481600023
1000480100965,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,48,VISWANATHA PURAM MAIN ROAD,1000481600022
1000480101175,OFFICE,CENTRAL,POST OFFICE,48,P M SAMY COLONY,1000481600021
1000480101175,OTHERS,STATE,ASSISTANT ENGINEER FOR TNEB,48,P M SAMY COLONY,1000481600020
1000480101456,PUBLIC,CORPORATION,PUBLIC TOILET,48,P M SAMY COLONY,1000481600019
1000480101456,TEMPLE,TEMPLE,ANTHONIAMMAL CHURCH,48,P M SAMY COLONY,1000481600018
1000480101456,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,48,P M SAMY COLONY,1000481600017
1000480100931,TEMPLE,TEMPLE,KARUMARIAMMAN TEMPLE,48,P M SAMY COLONY,1000481600016
1000480100737,TEMPLE,TEMPLE,EVANGELICAL CHURCH OF INDIA,48,INDIRA NAGAR,1000481600015
1000480101228,COMMERCIAL,PRIVATE,CAR PARKING,48,KRISHNASAMY ROAD,1000481600014
1000480100796,OTHERS,CORPORATION,CORPORATION WATER PUMPING BUILDING,48,SUNDARAM STREET,1000481600013
1000480100796,TEMPLE,TEMPLE,SRI MUTHUMARIAMMAN TEMPLE,48,SUNDARAM STREET,1000481600012
1000480100834,OFFICE,PRIVATE,POLITICAL OFFICE,48,KANDASAMY LAYOUT,1000481600011
1000480100162,TEMPLE,TEMPLE,THANDU MARIAMMAN TEMPLE,48,AMARAR JEEVA ROAD(SANGANOOR ROAD),1000481600010
1000480100118,RESIDENTIAL,PRIVATE,RAMANIS SYMPHONY APARTMENT,48,AMARAR JEEVA ROAD(SANGANOOR ROAD),1000481600009
1000480100274,TEMPLE,TEMPLE,SAKTHI MARIYAMMAN TEMPLE,48,DASAPPAN STREET,1000481600008
